type,title,content,source
character,Character: Dorothy Zbornak,This article is incomplete. You can help the Golden Girls Wiki by expanding it.,https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Dorothy Zbornak







Portrayed by
Beatrice ArthurLynnie Greene (young adult)Jandi Swanson (child, ""Clinton Avenue Memoirs"")



Character Information

Nicknames
PussycatSpumoni FaceMooseMa (by her children)Mother DorothyBabe (by Stan)Attila the SubMrs. Lucky


Gender
Female


Age
62 (as of The Golden Palace)54-61 (The Golden Girls)


Birthday
July 31, 1931 Brooklyn, New York City, New York, U.S.




Occupation(s)
English teacherAmerican History teacherLandladyOther/FormerTelevision writer, actor, museum staff, football coach, community organizer



Family Members

GrandparentsMrs. Petrillo (paternal grandmother) †Don Angelo Grisanti, Sr. (maternal grandfather) †Eleanor Grisanti (maternal grandmother) †ParentsSalvadore Petrillo (father) †Sophia Petrillo (mother)SiblingsGloria Harker (younger sister)Philip Petrillo (younger brother) †SpousesLucas Hollingsworth (husband)Stanley Zbornak (ex-husband)ChildrenKate Zbornak-Griffiths (daughter)Michael Zbornak (son)Other RelativesAngelo Grisanti, Jr.Vito GrisantiCarmine Vecchio †Uncle Dominic † (maternal uncles)Regina Grisanti †Angela VecchioAunt Jean (maternal aunts)Uncle Dominic's daughter (cousin)Angela PetrilloElizabeth Hollingsworth † (sisters-in-law)Curtis Hollingsworth (brother-in-law) †Katherine HarkerCharmaine Gertrude HollingsworthBlanche DevereauxVirginia Lena WarrenPhil Petrillo's four daughters (nieces)Thad HollingsworthClayton HollingsworthJim HarkerHarvey PetrilloPhil Petrillo's five unnamed sons (nephews)Dennis Griffiths (son-in-law)George Devereaux (nephew in-law) †



Romances

SpousesLucas Hollingsworth (second husband)Stanley Zbornak (first husband, divorced)Ex-BoyfriendsMichael TortelliGlen O'BrienFrank LeahyPatrick VaughnElliot ClaytonEddieLeeCrushesAl Mullins



Production Information

Appears In
The Golden Girls (lead role)The Golden PalaceEmpty Nest (guest roles)


Debuts in
The Engagement (The Golden Girls, 1985)Seems Like Old Times, Part 1 (The Golden Palace, 1993)


Final Appearance
One Flew Out of the Cuckoo's Nest, Part 2 (The Golden Girls, 1992)Seems Like Old Times, Part 2 (The Golden Palace, 1993)


Episode Count
182",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,Spumoni FaceMooseMa (by her children)Mother DorothyBabe (by Stan)Attila the SubMrs. Lucky,https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Other/FormerTelevision writer, actor, museum staff, football coach, community organizer",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Seems Like Old Times, Part 2 (The Golden Palace, 1993)",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Dorothy Zbornak-Hollingsworth (née Petrillo) is one of the four main characters on the 1985 NBC sitcom The Golden Girls, and its spin-off, The Golden Palace. A sardonic, introspective, compassionate, and protective substitute teacher, Dorothy moved to Miami, Florida, after her then-husband Stanley divorced her to run off with a stewardess. Along with her mother Sophia and her friend Rose, Dorothy rented a room in the Miami home of her friend Blanche Devereaux. Dorothy often acts as den mother and voice of reason among the quartet, though at times she also acted foolishly or negatively and would need her friends and family to help ground her again.",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Dorothy appeared in all seven seasons of The Golden Girls, and appeared twice in the series' short-lived sequel, The Golden Palace. She was portrayed by the late veteran actress and Broadway stage actress, Beatrice Arthur.",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Dorothy's character tends to be a strong-minded, compassionate, witty and introspective; and oftentimes sarcastic, fierce, and intimidating. Dorothy is also very intelligent, practical, no-nonsense and a known bookworm. Arguably, Dorothy is the most grounded out of the four girls in the house. Furthermore, she is incredibly protective of those she loves and cares for and those she considers family. Dorothy often was mocked by her two housemates, Rose and Blanche, as manly, strappy, tough, and a bit odd due to her stature of 5'10"" and her deep voice. She can also be highly sarcastic and blunt, saying it for what it is as well as being rude and unreasonable at times, especially towards her less-sharp housemate, Rose.",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"However, Dorothy is also in possession of many positive traits such as being a voice of reason to her housemates and her best friends, Rose and Blanche. Despite the ridicule, Dorothy regards the three other women to be family, comforting to them and often giving great and forward-thinking advice. She often acts as the bigger person in tough situations to straighten up Rose's and Blanche's small misfortunes and losses. Dorothy helps to ground Rose and Blanche during their difficulties, often calling out hypocrisy, cruelty, injustices, and such negative behaviors and acts from others against her best friends with her 'as-is' blunt remarks. Moreover, Dorothy also has quite some talents. In ""Journey to the Center of Attention"", she is able to upstage Blanche at the latter's favorite bar, The Rusty Anchor, by singing and thus winning the admiration of Blanche's many suitors.[1] At another point, remembering how funny Dorothy could be in high school, Dorothy attempts some stand-up comedy. In the end, Dorothy wins over her audience by poking fun at her own life and bringing such subjects up such as as menopause.",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
character,Character: Dorothy Zbornak,"Dorothy is a relatively intelligent person, but her intelligence can lead her to be rude, inconsiderate, blunt, and sometimes foolish. Many times, her over-confidence and self-sabotaging mindset alienates herself from others. In ""Dorothy's New Friend"", she befriended a local author and novelist named Barbara Thorndike, and initially ignored Rose and Blanche after they told her that Barbara insulted them to their faces. However, Barbara revealed she is willing to accept an elite club's rules of no Jewish customers. Finding this out, Dorothy realized what a bad person Barbara was and, without blinking, ordered her to leave and never return before telling her to go to hell.[2] In the Season 7 episode ""Questions and Answers"", Dorothy studied extremely hard when the girls tried out for Jeopardy!, and Sophia warned Dorothy that she may be overdoing it. During the Jeopardy game, Dorothy has much confidence and does seemingly well within the handful of rounds. However, she does not advance to the next round. When Dorothy realized she would not be earning the prize money, and she studied all for nearly nothing, she breaks down and cries. Sophia comes to her rescue and reminds Dorothy that she can get over-confident, which is one of the biggest reasons as to why Dorothy didn't have many birthday parties growing up...and never went to birthday parties growing up.[3]",https://goldengirls.fandom.com/wiki/Dorothy_Zbornak
